PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 -x3 +x4 -x7 +x10 -x11 +x14 -x15 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x50 +x52 -x58 +x60 -x64 +x68 -x72 +x76 <= 1
** which is   1  0  0 -1  1  0  0 -1  0  0  1 -1  0  0  1 -1  0  1  0 -1  0  1  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  1  0  0  0  0  0 -1  0  1  0  0  0  0  0 -1  0  1  0  0  0 -1  0  0  0  1  0  0  0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0 -1.
Processing #1 of at least 1 class
Class #1 is   1  0  0 -1  1  0  0 -1  0  0  1 -1  0  0  1 -1  0  1  0 -1  0  1  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  1  0  0  0  0  0 -1  0  1  0  0  0  0  0 -1  0  1  0  0  0 -1  0  0  0  1  0  0  0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0 -1
x0 -x3 +x4 -x7 +x8 +x12 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x46 -x54 -x64 +x68 -x72 +x76 <= 1
** which is   1  0  0 -1  1  0  0 -1  1  0  0  0  1  0  0  0  0  1  0 -1  0  1  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0 -1  0  0  0  1  0  0  0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0 -1.
Processing #2 of at least 2 classes
Class #2 is   1  0  0 -1  1  0  0 -1  1  0  0  0  1  0  0  0  0  1  0 -1  0  1  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  1  0 -1  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0 -1  0  0  0  1  0  0  0 -1  0  0  0  1  0  0  0  0  0  0  0  0  0 -1
Fourier-Motzkin Elimination step 1572 / 3450112: 4045
Fourier-Motzkin Elimination step 1578 / 3450112: 4274
Fourier-Motzkin Elimination step 1580 / 3450112: 4238
Fourier-Motzkin Elimination step 1582 / 3450112: 4222
Fourier-Motzkin Elimination step 1584 / 3450112: 4212
Fourier-Motzkin Elimination step 1590 / 3450112: 4219
Fourier-Motzkin Elimination step 1600 / 3450112: 4247
Fourier-Motzkin Elimination step 1614 / 3450112: 4319
Fourier-Motzkin Elimination step 3601 / 2304896: 4296
Fourier-Motzkin Elimination step 3625 / 2304896: 3402
Fourier-Motzkin Elimination step 3628 / 2304896: 3724
Fourier-Motzkin Elimination step 3629 / 2304896: 2361
Fourier-Motzkin Elimination step 3757 / 2304896: 5586
Fourier-Motzkin Elimination step 3770 / 2304896: 5669
Fourier-Motzkin Elimination step 3807 / 2304896: 5330
Fourier-Motzkin Elimination step 3966 / 2304896: 5286
Fourier-Motzkin Elimination step 3974 / 2304896: 6702
Fourier-Motzkin Elimination step 3975 / 2304896: 6973
Fourier-Motzkin Elimination step 3976 / 2304896: 7068
Fourier-Motzkin Elimination step 3977 / 2304896: 7160
Fourier-Motzkin Elimination step 3978 / 2304896: 7252
Fourier-Motzkin Elimination step 3979 / 2304896: 7343
Fourier-Motzkin Elimination step 3980 / 2304896: 7265
Fourier-Motzkin Elimination step 3981 / 2304896: 7334
Fourier-Motzkin Elimination step 3982 / 2304896: 7264
Fourier-Motzkin Elimination step 3983 / 2304896: 7202
